2026-03-25 20:34:01 | INFO     | main | POST /divide  a=8.0 b=2.0
2026-03-25 20:34:01 | INFO     | operations | DIVIDE: 8.0 / 2.0 = 4.0
2026-03-25 20:34:01 | INFO     | main | Serving calculator UI
2026-03-25 20:34:01 | INFO     | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
2026-03-25 20:34:01 | INFO     | main | Serving calculator UI
2026-03-25 20:34:01 | INFO     | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
2026-03-25 20:34:01 | INFO     | main | POST /add  a=3.0 b=4.0
2026-03-25 20:34:01 | INFO     | operations | ADD: 3.0 + 4.0 = 7.0
2026-03-25 20:34:01 | INFO     | httpx | HTTP Request: POST http://testserver/add "HTTP/1.1 200 OK"
2026-03-25 20:34:01 | INFO     | main | POST /add  a=1.0 b=2.0
2026-03-25 20:34:01 | INFO     | operations | ADD: 1.0 + 2.0 = 3.0
2026-03-25 20:34:01 | INFO     | httpx | HTTP Request: POST http://testserver/add "HTTP/1.1 200 OK"
2026-03-25 20:34:01 | INFO     | main | POST /add  a=-5.0 b=3.0
2026-03-25 20:34:01 | INFO     | operations | ADD: -5.0 + 3.0 = -2.0
2026-03-25 20:34:01 | INFO     | httpx | HTTP Request: POST http://testserver/add "HTTP/1.1 200 OK"
2026-03-25 20:34:01 | INFO     | main | POST /add  a=1.5 b=2.5
2026-03-25 20:34:01 | INFO     | operations | ADD: 1.5 + 2.5 = 4.0
2026-03-25 20:34:01 | INFO     | httpx | HTTP Request: POST http://testserver/add "HTTP/1.1 200 OK"
2026-03-25 20:34:01 | INFO     | httpx | HTTP Request: POST http://testserver/add "HTTP/1.1 422 Unprocessable Entity"
2026-03-25 20:34:01 | INFO     | main | POST /subtract  a=10.0 b=3.0
2026-03-25 20:34:01 | INFO     | operations | SUBTRACT: 10.0 - 3.0 = 7.0
2026-03-25 20:34:01 | INFO     | httpx | HTTP Request: POST http://testserver/subtract "HTTP/1.1 200 OK"
2026-03-25 20:34:01 | INFO     | main | POST /subtract  a=3.0 b=10.0
2026-03-25 20:34:01 | INFO     | operations | SUBTRACT: 3.0 - 10.0 = -7.0
2026-03-25 20:34:01 | INFO     | httpx | HTTP Request: POST http://testserver/subtract "HTTP/1.1 200 OK"
2026-03-25 20:34:01 | INFO     | main | POST /subtract  a=1.0 b=1.0
2026-03-25 20:34:01 | INFO     | operations | SUBTRACT: 1.0 - 1.0 = 0.0
